Front	Back
What is a Primary Key and what are its two key characteristics?	A Primary Key is a column or set of columns that uniquely identifies each row in a table. Its two key characteristics are: 1) Uniqueness (no two rows can have the same value), 2) Non-nullability (cannot contain NULL values). Only one Primary Key is allowed per table.
Should you use a natural key or a surrogate key as a Primary Key?	Prefer surrogate keys (auto-incrementing integers, identity columns) over natural keys for Primary Keys. Surrogate keys are immutable, never change, are narrow (4-8 bytes), and don't carry business meaning. Natural keys (like SSN, email) can change and may not be unique or immutable.
What data type is best for a Primary Key in T-SQL?	Use INTEGER (INT) or BIGINT for surrogate keys with IDENTITY property. INT supports 2.1 billion rows, BIGINT supports 9.2 quintillion. Avoid GUIDs as clustered keys (cause fragmentation), VARCHAR (variable width slows joins), or composite keys (wide keys propagate to all indexes).
What happens when you define a Primary Key in SQL Server?	SQL Server automatically creates a Unique Clustered Index on the Primary Key column(s) (unless you specify NONCLUSTERED). This provides fast lookups and enforces uniqueness. The key columns cannot be NULL and duplicate values are rejected.
When would you use a composite Primary Key?	Use composite Primary Keys (multiple columns) for junction/link tables in many-to-many relationships where the combination uniquely identifies rows. Example: OrderDetails table with PK (OrderID, ProductID). Avoid for main entity tables - use surrogate key instead.
What is the syntax to create a Primary Key in T-SQL?	Inline: CREATE TABLE Customers (CustomerID INT IDENTITY(1,1) PRIMARY KEY, Name VARCHAR(100)). Constraint syntax: CREATE TABLE Orders (OrderID INT, CustomerID INT, CONSTRAINT PK_Orders PRIMARY KEY (OrderID)). Both create unique clustered index by default.
What is the difference between a Primary Key constraint and a Unique constraint?	Primary Key: Only one per table, cannot be NULL, creates clustered index by default. Unique constraint: Multiple allowed per table, allows one NULL value (SQL Server), creates non-clustered index by default. Use Unique constraints for alternate identifiers like email or SSN.
What is a Foreign Key and what is its purpose?	A Foreign Key is a column (or set of columns) in one table that references the Primary Key of another table. It establishes and enforces referential integrity between tables, ensuring relationships are valid and preventing orphaned records.
What happens when you try to delete a row that has Foreign Key references?	By default, SQL Server prevents deletion (RESTRICT/NO ACTION) and raises an error if child rows exist. You can specify ON DELETE CASCADE to automatically delete child rows, or ON DELETE SET NULL to set FK to NULL (if nullable). Always handle with care to avoid accidental data loss.
What is the syntax for creating a Foreign Key in T-SQL?	CREATE TABLE Orders (OrderID INT PRIMARY KEY, CustomerID INT, CONSTRAINT FK_Orders_Customers FOREIGN KEY (CustomerID) REFERENCES Customers(CustomerID) ON DELETE NO ACTION ON UPDATE NO ACTION)
Can a Foreign Key reference a Unique constraint instead of a Primary Key?	Yes, Foreign Keys can reference any column with a Unique constraint or Primary Key, but not regular indexes. The referenced column must enforce uniqueness. However, best practice is to reference Primary Keys for clarity and consistency.
What are the performance implications of Foreign Keys?	Foreign Keys add overhead on INSERT, UPDATE, DELETE operations because SQL Server must verify the referenced value exists. However, they improve SELECT performance by enabling query optimizer to use better join strategies. Always index Foreign Key columns to speed up the validation lookups.
When should you NOT use Foreign Keys?	Avoid Foreign Keys in high-throughput OLTP systems where write performance is critical, during bulk data loads (disable constraints, then re-enable), across databases (not supported), or in ETL staging tables where data quality is validated separately. Most production systems should use them.
What is a self-referencing Foreign Key?	A Foreign Key in a table that references the Primary Key of the same table. Used for hierarchical data like org charts (EmployeeID reports to ManagerID), product categories (CategoryID has ParentCategoryID), or threaded comments. Requires nullable FK column to allow root-level nodes.
What is a Surrogate Key and what are its advantages?	A Surrogate Key is an artificial, system-generated identifier (like IDENTITY integer) with no business meaning. Advantages: immutable, never changes, narrow (fast joins), unique, simple, doesn't expose business data. Best choice for Primary Keys in data warehouses and OLTP systems.
What is a Natural Key and when might you use one?	A Natural Key is a business attribute that uniquely identifies an entity (like SSN, ISBN, email address). Use when: the key is truly immutable and unique, very stable over time, small in size, and clearly understood by users. Be cautious - natural keys often change and may not be unique.
What is a Smart Key and why should you avoid it?	A Smart Key embeds business meaning within the key value (e.g., ProductID = "ELEC-TV-001" where ELEC=category, TV=subcategory, 001=sequence). Avoid because business rules change, making the key format obsolete; also causes fragmentation when ranges are meaningful.
In a data warehouse, should dimension tables use Surrogate or Natural Keys?	Dimension tables should use Surrogate Keys as Primary Keys, even if Natural Keys exist. Reasons: 1) Handle Type 2 SCD (same natural key, different time periods), 2) Protect from source system changes, 3) Improve performance with narrow integer keys, 4) Handle late-arriving data.
